gene_id	kegg_pathway_id	kegg_pathway_name
OsMH63_01G000920	osa00620	Pyruvate metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G000920	osa00710	Carbon fixation by Calvin cycle - Oryza sativa japonica (Japanese rice)
OsMH63_01G000920	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G000920	osa01200	Carbon metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G001350	osa03015	mRNA surveillance pathway - Oryza sativa japonica (Japanese rice)
OsMH63_01G001420	osa00010	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice)
OsMH63_01G001420	osa00030	Pentose phosphate pathway - Oryza sativa japonica (Japanese rice)
OsMH63_01G001420	osa00051	Fructose and mannose metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G001420	osa00710	Carbon fixation by Calvin cycle - Oryza sativa japonica (Japanese rice)
OsMH63_01G001420	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G001420	osa01110	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice)
OsMH63_01G001420	osa01200	Carbon metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G001420	osa01230	Biosynthesis of amino acids - Oryza sativa japonica (Japanese rice)
OsMH63_01G001440	osa00564	Glycerophospholipid metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G001440	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G001440	osa01110	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice)
OsMH63_01G001600	osa03015	mRNA surveillance pathway - Oryza sativa japonica (Japanese rice)
OsMH63_01G001650	osa02010	ABC transporters - Oryza sativa japonica (Japanese rice)
OsMH63_01G001650	osa04981	Folate transport and metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G001670	osa04120	Ubiquitin mediated proteolysis - Oryza sativa japonica (Japanese rice)
OsMH63_01G001740	osa00010	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice)
OsMH63_01G001740	osa00030	Pentose phosphate pathway - Oryza sativa japonica (Japanese rice)
OsMH63_01G001740	osa00051	Fructose and mannose metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G001740	osa00710	Carbon fixation by Calvin cycle - Oryza sativa japonica (Japanese rice)
OsMH63_01G001740	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G001740	osa01110	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice)
OsMH63_01G001740	osa01200	Carbon metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G001740	osa01230	Biosynthesis of amino acids - Oryza sativa japonica (Japanese rice)
OsMH63_01G001760	osa03018	RNA degradation - Oryza sativa japonica (Japanese rice)
OsMH63_01G001770	osa04120	Ubiquitin mediated proteolysis - Oryza sativa japonica (Japanese rice)
OsMH63_01G001790	osa00564	Glycerophospholipid metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G001790	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G001790	osa01110	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice)
OsMH63_01G001920	osa00970	Aminoacyl-tRNA biosynthesis - Oryza sativa japonica (Japanese rice)
OsMH63_01G001920	osa04120	Ubiquitin mediated proteolysis - Oryza sativa japonica (Japanese rice)
OsMH63_01G002030	osa00051	Fructose and mannose metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G002030	osa00520	Amino sugar and nucleotide sugar metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G002030	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G002030	osa01110	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice)
OsMH63_01G002030	osa01240	Biosynthesis of cofactors - Oryza sativa japonica (Japanese rice)
OsMH63_01G002030	osa01250	Biosynthesis of nucleotide sugars - Oryza sativa japonica (Japanese rice)
OsMH63_01G002040	osa02010	ABC transporters - Oryza sativa japonica (Japanese rice)
OsMH63_01G002040	osa04981	Folate transport and metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G002060	osa04120	Ubiquitin mediated proteolysis - Oryza sativa japonica (Japanese rice)
OsMH63_01G002110	osa04120	Ubiquitin mediated proteolysis - Oryza sativa japonica (Japanese rice)
OsMH63_01G002230	osa04120	Ubiquitin mediated proteolysis - Oryza sativa japonica (Japanese rice)
OsMH63_01G002280	osa04120	Ubiquitin mediated proteolysis - Oryza sativa japonica (Japanese rice)
OsMH63_01G002390	osa04120	Ubiquitin mediated proteolysis - Oryza sativa japonica (Japanese rice)
OsMH63_01G002400	osa00100	Steroid biosynthesis - Oryza sativa japonica (Japanese rice)
OsMH63_01G002400	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G002400	osa01110	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice)
OsMH63_01G002460	osa04626	Plant-pathogen interaction - Oryza sativa japonica (Japanese rice)
OsMH63_01G002470	osa04141	Protein processing in endoplasmic reticulum - Oryza sativa japonica (Japanese rice)
