gene_id	DS_osbzip23_rep1	DS_osbzip23_rep2	DS_WT_rep1	DS_WT_rep2	N_WT_rep1	N_WT_rep2	RE_WT_rep1	RE_WT_rep2
OsMH_01G0014100	0	2	68	89	224	238	135	146
OsMH_01G0014200	0	0	88	101	88	44	62	86
OsMH_01G0014300	0	0	153	173	128	84	103	99
OsMH_01G0014400	0	0	31	18	59	37	37	54
OsMH_01G0014500	0	14	13	18	0	10	0	10
OsMH_01G0014700	0	0	26	34	233	211	67	67
OsMH_01G0014800	0	0	2314	2248	5237	4989	3455	3462
OsMH_01G0014900	0	1	0	29	90	0	87	47
OsMH_01G0015000	0	3	0	27	0	63	55	61
OsMH_01G0015100	0	0	0	2	0	0	0	0
OsMH_01G0015200	0	0	0	0	1	2	0	0
OsMH_01G0015300	0	0	0	0	0	0	0	0
OsMH_01G0015400	0	0	0	0	0	0	0	0
OsMH_01G0015500	0	0	189	154	586	660	351	418
OsMH_01G0015800	0	1	0	0	0	0	0	0
OsMH_01G0015900	0	0	0	0	0	0	0	0
OsMH_01G0016400	0	0	0	0	0	2	0	0
OsMH_01G0016500	0	0	0	0	0	0	0	0
OsMH_01G0016600	0	2	0	0	0	0	0	0
OsMH_01G0016700	0	0	1296	1315	3223	3013	1089	1317
OsMH_01G0017000	84	116	39	26	44	69	23	31
OsMH_01G0017100	2479	2771	1	0	1	1	0	1
OsMH_01G0017300	12	22	22	27	78	54	52	50
OsMH_01G0017500	0	0	9	15	20	23	16	24
OsMH_01G0017600	0	0	3	0	2	8	11	2
OsMH_01G0018000	25	34	2	0	0	0	0	2
OsMH_01G0018200	0	0	41	43	95	86	62	46
OsMH_01G0018400	0	0	77	130	146	153	142	136
OsMH_01G0018700	0	0	31	35	227	230	59	117
OsMH_01G0018800	0	0	170	170	299	244	100	102
OsMH_01G0018900	0	0	4	0	3	6	0	0
OsMH_01G0019000	0	0	11	5	14	8	5	23
OsMH_01G0019100	1294	1816	1091	1119	1403	1369	1199	1255
OsMH_01G0019900	1050	1653	1269	1461	3719	3388	2293	2370
OsMH_01G0020100	698	992	9	3	7	14	17	10
OsMH_01G0020400	0	23	0	0	0	0	0	0
OsMH_01G0020500	0	6	11	9	0	0	0	0
OsMH_01G0020600	0	0	0	0	1	0	0	0
OsMH_01G0012100	2	13	0	0	0	0	0	4
OsMH_01G0012200	321	351	0	0	0	0	0	0
OsMH_01G0012300	15	14	0	0	0	0	0	0
OsMH_01G0012500	52	73	567	586	2708	2323	2818	3032
OsMH_01G0013200	4	12	7721	7507	4190	3672	3126	3270
OsMH_01G0013400	7	21	18	24	112	141	106	106
OsMH_01G0013900	4	0	0	0	0	0	0	0
OsMH_01G0014000	8	12	0	0	0	2	0	0
OsMH_01G0014600	3	3	51	62	1726	1572	2048	2214
OsMH_01G0015600	390	1016	0	0	0	0	2	0
OsMH_01G0015700	169	333	0	0	0	0	0	0
OsMH_01G0016000	641	1142	3770	3493	4309	3933	2797	2812
OsMH_01G0016100	5	28	34	41	81	47	45	44
OsMH_01G0016200	312	571	28	19	130	130	58	61
OsMH_01G0016300	54	88	70	63	294	231	159	135
OsMH_01G0016800	17	29	135	118	164	107	112	86
OsMH_01G0016900	8	13	216	166	153	117	69	78
OsMH_01G0017200	60	322	1	1	15	12	9	20
OsMH_01G0017400	852	916	1654	1725	2850	2499	2156	2190
OsMH_01G0017700	60	65	620	698	2174	1898	2677	2664
OsMH_01G0017800	1377	1460	29	31	130	115	120	137
OsMH_01G0017900	70	98	2532	2823	2006	1705	1930	2036
OsMH_01G0018100	13	10	43	53	217	243	121	137
OsMH_01G0018300	192	155	382	370	226	222	145	171
OsMH_01G0018500	8	13	4	0	5	20	0	6
OsMH_01G0018600	134	224	688	853	124	169	122	184
OsMH_01G0019200	406	382	4444	4571	1616	1307	1572	1756
OsMH_01G0019300	309	482	465	529	2429	2270	2817	2902
OsMH_01G0019400	1108	1633	639	638	90	87	166	130
OsMH_01G0019500	36	51	3715	3658	4383	4135	3011	3014
OsMH_01G0019600	1555	1793	1068	1201	856	885	699	722
OsMH_01G0019700	6	21	3594	3635	3081	2858	2222	2358
OsMH_01G0019800	1474	1432	0	0	4	0	2	0
OsMH_01G0020000	230	246	0	0	0	0	0	0
OsMH_01G0020200	96	133	0	0	0	0	0	0
OsMH_01G0020300	623	560	0	0	0	0	0	0
OsMH_01G0020700	21	32	0	0	0	0	0	0
OsMH_01G0020800	8	16	0	0	0	0	0	0
OsMH_01G0056500	0	3	0	0	0	0	0	0
OsMH_01G0056600	148	238	0	0	0	0	0	0
OsMH_01G0056700	129	227	0	0	0	0	0	0
OsMH_01G0056800	69	54	0	0	0	0	0	0
OsMH_01G0056900	0	102	0	0	0	0	0	0
OsMH_01G0057000	0	0	0	0	0	0	0	0
OsMH_01G0057100	0	0	0	0	0	0	0	0
OsMH_01G0057200	4	10	0	0	0	0	0	0
OsMH_01G0057300	0	0	3	0	17	11	4	8
OsMH_01G0057500	0	0	0	0	0	0	0	0
OsMH_01G0057400	20	52	0	0	0	0	0	0
OsMH_01G0057600	79	88	0	0	0	0	0	0
OsMH_01G0057700	5	0	0	0	0	0	0	0
OsMH_01G0058000	4	3	0	0	0	0	0	0
OsMH_01G0058100	6	5	0	0	0	0	0	0
OsMH_01G0058400	16	26	0	0	0	0	0	0
OsMH_01G0058500	15	2	3036	2981	2040	1807	1224	1282
OsMH_01G0058900	593	927	0	4	9	13	19	10
OsMH_01G0059000	210	235	414	401	1955	1758	1903	1953
OsMH_01G0059100	169	392	0	0	0	0	0	0
OsMH_01G0059200	154	320	0	0	0	0	1	0
OsMH_01G0059300	72	256	0	0	0	0	0	0
OsMH_01G0059400	2010	2739	0	0	0	0	0	0
OsMH_01G0059500	242	260	0	0	0	0	0	0
OsMH_01G0059700	2	0	0	0	0	0	0	0
OsMH_01G0059800	4	13	0	0	0	0	0	0
OsMH_01G0060100	65	231	0	0	145	121	426	476
OsMH_01G0060300	21	25	0	0	19	17	5	0
OsMH_01G0060500	39	90	394	403	246	227	111	159
OsMH_01G0060400	831	1155	0	0	0	0	0	0
OsMH_01G0060600	48	10	0	0	0	0	0	0
OsMH_01G0060700	175	247	0	0	0	0	0	0
OsMH_01G0060800	32	55	4	2	2	0	0	0
OsMH_01G0060900	3	3	2494	2446	6716	5962	5760	5966
OsMH_01G0061000	28	15	811	813	717	633	365	358
OsMH_01G0061200	752	915	4424	4656	2456	2457	2066	2242
OsMH_01G0061300	464	740	152	174	108	92	87	88
OsMH_01G0061400	0	0	5338	5569	3796	3291	1989	1950
OsMH_01G0061500	154	169	54	46	0	20	22	22
OsMH_01G0061600	2	0	2484	2544	1933	1542	1382	1367
OsMH_01G0061700	1666	1798	36	25	67	43	67	93
OsMH_01G0061800	277	438	7	2	4	2	1	3
OsMH_01G0061900	106	105	1263	1448	975	818	682	763
OsMH_01G0062100	652	659	250	173	248	189	150	179
OsMH_01G0062200	52	88	8	0	1	4	0	4
OsMH_01G0062300	80	218	2	0	0	0	0	4
OsMH_01G0062400	106	151	1646	1596	480	432	645	565
OsMH_01G0021100	0	0	2971	3399	176	140	209	281
OsMH_01G0021200	0	0	571	600	25	24	56	30
OsMH_01G0021300	0	0	9794	11755	399	349	348	316
OsMH_01G0021400	0	0	59	44	20	11	21	22
OsMH_01G0021500	0	0	25	20	33	48	41	53
OsMH_01G0021600	0	0	295	314	162	165	162	112
OsMH_01G0021700	0	0	3169	2923	3849	3377	2903	3129
OsMH_01G0021800	0	0	2262	2216	1138	1134	738	656
OsMH_01G0021900	0	0	3	8	0	7	0	0
OsMH_01G0022000	2	9	273	281	2	3	40	19
OsMH_01G0022600	0	0	289	240	286	274	317	307
OsMH_01G0022700	0	0	136	111	150	143	130	143
OsMH_01G0022800	0	0	212	239	22	43	41	17
OsMH_01G0022900	0	0	40	24	100	81	108	133
OsMH_01G0023000	0	0	3325	3387	2391	2091	1843	1985
OsMH_01G0023100	0	0	75	108	2	1	4	5
OsMH_01G0023200	0	0	0	0	0	0	0	0
OsMH_01G0023300	0	0	0	0	0	0	0	0
OsMH_01G0023600	1852	2449	0	0	0	0	0	0
OsMH_01G0023900	65	62	0	0	0	0	0	0
OsMH_01G0024000	0	0	0	2	0	0	0	0
OsMH_01G0024100	0	0	0	0	0	0	0	0
OsMH_01G0024200	0	0	0	0	0	2	1	0
OsMH_01G0024300	0	0	0	0	2	0	0	0
OsMH_01G0024400	0	0	0	4	0	0	0	0
OsMH_01G0024500	0	0	2349	2633	1511	1573	998	1146
OsMH_01G0024600	0	0	0	0	0	0	4	0
OsMH_01G0024700	0	0	0	0	0	0	0	0
OsMH_01G0024800	8	0	0	0	0	0	0	0
OsMH_01G0025000	43	38	0	0	0	0	0	0
OsMH_01G0025400	0	0	0	0	0	0	0	0
OsMH_01G0025500	0	0	0	0	0	0	0	0
OsMH_01G0025600	0	0	0	0	0	0	0	1
OsMH_01G0025800	11	20	0	1	0	0	2	0
OsMH_01G0026300	0	0	0	0	0	0	0	0
OsMH_01G0026500	0	0	0	0	0	0	0	7
OsMH_01G0026700	0	0	143	204	125	102	143	151
OsMH_01G0026800	0	0	112	130	357	313	550	565
OsMH_01G0026900	0	0	7271	7772	4868	4066	5620	5524
OsMH_01G0027000	0	0	288	248	67	66	57	58
OsMH_01G0027100	0	2	15973	16713	7636	6218	4083	3750
OsMH_01G0027200	3857	5059	4	4	3	3	4	3
OsMH_01G0027300	0	2	382	420	278	298	143	164
OsMH_01G0027600	0	0	901	830	460	358	1113	1098
OsMH_01G0027900	0	0	275	181	261	302	308	318
OsMH_01G0028000	0	0	456	461	357	270	257	231
OsMH_01G0028100	0	7	64	77	67	53	67	51
OsMH_01G0028600	0	1	18	15	21	16	12	2
OsMH_01G0028900	0	0	8	0	0	0	0	2
OsMH_01G0029000	0	8	553	476	495	377	318	340
OsMH_01G0029500	228	275	155	91	257	212	119	105
OsMH_01G0029600	0	0	503	445	179	160	376	392
OsMH_01G0029700	0	0	6	15	29	22	19	8
OsMH_01G0029800	0	0	591	669	355	278	248	243
OsMH_01G0029900	0	0	31	24	17	33	24	15
OsMH_01G0030000	0	0	22	24	11	2	3	5
OsMH_01G0030100	0	0	8216	7777	1521	1341	1120	1192
OsMH_01G0030200	0	0	208	238	66	51	78	56
OsMH_01G0030300	0	0	3907	4252	3538	3060	3068	2960
OsMH_01G0030400	0	15	6227	7011	11769	9909	13266	13634
OsMH_01G0030600	0	0	0	0	0	0	0	0
OsMH_01G0030700	0	0	799	782	657	604	525	603
OsMH_01G0030800	116	78	43	56	386	302	270	266
OsMH_01G0030900	2230	3796	0	0	0	0	0	0
OsMH_01G0031000	1128	772	0	0	0	0	0	0
OsMH_01G0031200	0	0	0	0	0	0	0	0
OsMH_01G0031300	0	0	0	3	4	5	2	4
OsMH_01G0031400	0	0	324	338	631	435	477	525
OsMH_01G0031500	0	0	0	0	0	0	0	0
OsMH_01G0031600	0	0	0	0	0	0	0	0
OsMH_01G0031800	0	0	0	0	0	0	0	0
OsMH_01G0032000	24	25	0	0	0	0	0	0
OsMH_01G0032100	0	0	0	0	0	0	0	0
OsMH_01G0032900	0	0	0	0	0	0	0	0
OsMH_01G0033200	154	212	0	0	0	0	0	0
OsMH_01G0033300	28	44	0	0	0	0	0	0
OsMH_01G0033400	0	0	0	0	0	0	0	0
OsMH_01G0033500	0	0	0	0	0	0	0	0
OsMH_01G0033600	0	0	0	0	0	0	0	0
OsMH_01G0033700	0	0	96	109	861	665	618	649
OsMH_01G0033800	0	0	0	0	0	0	0	0
OsMH_01G0033900	0	0	279	289	281	308	311	364
OsMH_01G0034000	93	66	0	0	0	0	0	0
OsMH_01G0034100	0	0	0	0	0	0	0	0
OsMH_01G0034200	0	0	49	50	89	79	234	238
OsMH_01G0034300	0	0	4879	4823	3058	2850	2785	2783
OsMH_01G0034500	0	0	0	2	0	0	0	0
OsMH_01G0034600	0	0	0	0	0	0	0	0
OsMH_01G0034700	0	0	0	2	7	11	6	4
OsMH_01G0034800	0	0	0	0	0	0	0	0
OsMH_01G0034900	0	0	0	0	388	295	320	429
OsMH_01G0035000	0	0	0	0	0	0	0	0
OsMH_01G0035100	0	0	0	0	0	0	0	0
OsMH_01G0035200	0	0	0	0	0	0	0	0
OsMH_01G0035300	0	0	1122	1017	1012	961	600	617
OsMH_01G0035500	0	0	0	0	0	3	0	0
OsMH_01G0035600	0	0	0	0	0	0	0	0
OsMH_01G0035700	42	44	0	0	0	0	0	0
OsMH_01G0035800	0	0	0	0	0	0	0	0
OsMH_01G0035900	0	0	0	0	0	0	0	0
OsMH_01G0036200	226	513	0	0	0	0	0	0
OsMH_01G0036300	13	32	0	0	0	0	0	0
OsMH_01G0036400	0	0	0	0	0	0	0	0
OsMH_01G0036700	0	0	178	205	176	172	182	166
OsMH_01G0036800	55	36	457	490	272	190	99	116
OsMH_01G0036900	1898	1956	0	9	0	0	0	0
OsMH_01G0037000	0	0	0	0	0	0	0	0
OsMH_01G0037200	0	0	0	0	0	0	0	0
OsMH_01G0037400	0	0	0	0	0	0	0	0
OsMH_01G0037700	1375	1123	0	0	2	0	0	0
OsMH_01G0037800	0	36	0	0	0	5	6	6
OsMH_01G0037900	0	0	0	0	0	0	0	0
OsMH_01G0038000	0	0	0	0	0	0	0	0
OsMH_01G0038100	0	0	0	0	0	0	0	0
OsMH_01G0038300	2099	2606	0	0	3	1	1	0
OsMH_01G0038400	0	0	0	0	0	0	0	0
OsMH_01G0038500	0	0	0	0	0	0	0	0
OsMH_01G0038600	52	118	0	0	0	0	0	2
OsMH_01G0038700	23	55	0	0	5	4	1	3
OsMH_01G0039300	3	0	0	0	0	1	0	0
OsMH_01G0039400	0	0	0	0	0	0	0	0
OsMH_01G0039500	0	0	965	1109	761	936	561	607
OsMH_01G0039600	20	99	0	0	1	1	0	0
OsMH_01G0039700	0	0	13622	12508	11427	11185	10316	10276
OsMH_01G0039900	0	0	1510	1420	1904	1706	1426	1571
OsMH_01G0040000	0	0	0	0	0	0	0	0
OsMH_01G0040100	0	0	0	0	0	0	0	0
OsMH_01G0040200	0	0	0	0	0	0	0	0
OsMH_01G0040600	133	178	1940	1798	1138	1019	839	821
OsMH_01G0040900	130	122	0	0	0	0	0	0
OsMH_01G0041300	0	0	0	0	0	0	0	0
OsMH_01G0041400	0	0	0	0	0	0	0	0
OsMH_01G0041600	0	0	0	0	0	0	0	0
OsMH_01G0041700	0	0	0	0	0	0	0	0
OsMH_01G0041800	0	0	0	0	0	0	0	0
OsMH_01G0041900	0	0	0	0	0	0	0	0
OsMH_01G0042000	0	0	0	0	0	0	0	0
OsMH_01G0042100	0	0	175	174	36	38	26	19
OsMH_01G0042200	0	0	719	741	1782	1520	877	1018
OsMH_01G0042300	0	0	0	0	0	0	0	0
OsMH_01G0042400	0	2	6568	6779	13100	11929	9633	10569
OsMH_01G0042500	0	0	4853	4813	1767	1562	1564	1628
OsMH_01G0042600	0	8	0	0	0	0	0	0
OsMH_01G0042700	0	0	0	0	6	0	0	0
OsMH_01G0042900	0	5	0	8	4	3	0	2
OsMH_01G0043300	0	0	0	0	0	0	0	0
OsMH_01G0043400	0	0	0	2	0	0	0	0
OsMH_01G0043600	588	493	432	458	7	4	6	5
OsMH_01G0043800	0	0	1727	1676	4	2	10	22
OsMH_01G0043900	0	0	586	576	2	3	10	7
OsMH_01G0044100	1859	2965	19	13	17	23	41	38
OsMH_01G0044200	0	0	149	149	112	106	95	119
OsMH_01G0044300	0	0	36	75	91	77	97	137
OsMH_01G0044500	0	0	43	36	56	62	48	40
OsMH_01G0044600	0	0	3	2	6	4	12	9
OsMH_01G0044700	0	0	5	5	0	0	0	5
OsMH_01G0044900	0	0	76	82	46	34	17	28
OsMH_01G0045000	0	0	1	1	1	1	1	1
OsMH_01G0045200	0	0	30	26	20	19	22	17
OsMH_01G0045300	0	3	2	11	95	103	51	81
OsMH_01G0045500	0	1	26	21	74	52	95	87
OsMH_01G0045600	0	0	292	277	58	70	54	50
OsMH_01G0045700	0	0	25	12	8	19	20	36
OsMH_01G0045800	0	0	2079	2035	978	901	1357	1363
OsMH_01G0046000	116	113	27	46	10	4	15	15
OsMH_01G0046400	869	1266	10	11	12	13	2	15
OsMH_01G0046600	0	0	39	85	655	584	1009	905
OsMH_01G0046800	0	1	100	110	218	184	177	185
OsMH_01G0046900	0	2	4747	5214	2482	2190	1378	1273
OsMH_01G0047300	2181	2343	266	218	351	323	350	317
OsMH_01G0047500	1935	2806	143	145	6646	5663	5051	5175
OsMH_01G0047700	0	2	5592	5552	8168	7095	6639	6568
OsMH_01G0048100	0	0	871	907	1308	1177	841	850
OsMH_01G0048200	0	0	576	720	568	526	568	505
