gene_id	DS_osbzip23_rep1	DS_osbzip23_rep2	DS_WT_rep1	DS_WT_rep2	N_WT_rep1	N_WT_rep2	RE_WT_rep1	RE_WT_rep2
OsMH_01G0265900	0	0	7641	8014	6347	5723	5539	5751
OsMH_01G0266000	0	0	316	406	22	28	47	65
OsMH_01G0266100	0	0	346	334	168	129	59	90
OsMH_01G0266200	0	0	353	341	190	195	119	174
OsMH_01G0266300	0	0	102	101	70	55	34	63
OsMH_01G0266500	0	0	1154	1221	857	714	586	460
OsMH_01G0260400	37	40	256	178	364	355	367	452
OsMH_01G0261900	145	157	800	716	928	821	851	913
OsMH_01G0262200	19	12	3157	3224	2856	2819	1929	1982
OsMH_01G0263000	2	8	1209	1225	916	735	585	606
OsMH_01G0263600	467	639	33	32	38	40	35	17
OsMH_01G0263700	1	1	2	14	2	0	0	0
OsMH_01G0263800	940	973	2	0	0	0	0	0
OsMH_01G0264200	4	6	904	1099	894	785	749	744
OsMH_01G0266400	19	7	1260	1359	1132	1035	727	714
OsMH_01G0266600	1	0	0	0	0	0	0	0
OsMH_01G0271500	2	3	4888	5140	1783	1623	1282	1262
OsMH_01G0269200	327	490	1558	1530	1136	960	808	857
OsMH_01G0269300	0	0	1711	1644	679	638	344	335
OsMH_01G0269400	0	0	17	40	81	49	76	105
OsMH_01G0269500	0	0	1893	1917	1375	1248	1098	1013
OsMH_01G0269600	0	0	2328	2126	2124	1907	1507	1319
OsMH_01G0269700	0	0	0	0	0	0	0	0
OsMH_01G0269800	778	1710	0	0	0	0	0	0
OsMH_01G0270100	0	0	0	0	0	0	0	0
OsMH_01G0270300	0	0	0	0	0	0	0	0
OsMH_01G0270400	0	0	0	0	0	0	0	0
OsMH_01G0270500	0	0	0	0	0	0	0	0
OsMH_01G0270600	0	0	0	0	0	0	0	0
OsMH_01G0270800	0	0	0	0	0	0	0	0
OsMH_01G0269100	1	0	0	0	0	0	0	0
OsMH_01G0269900	3	3	0	0	0	0	0	0
OsMH_01G0270000	99	178	0	0	0	0	0	0
OsMH_01G0270200	18	51	0	0	0	0	0	0
OsMH_01G0270700	4	3	0	0	0	0	0	6
OsMH_01G0270900	754	828	0	0	0	0	0	0
OsMH_01G0271700	1700	1858	0	0	0	0	0	0
OsMH_01G0272700	170	226	0	0	6	1	0	3
OsMH_01G0273300	9	8	0	0	0	0	0	0
OsMH_01G0273400	3	0	0	0	0	0	0	0
OsMH_01G0273500	65	56	0	0	0	0	0	0
OsMH_01G0273600	84	81	0	0	0	0	0	0
OsMH_01G0274000	4	0	0	0	0	0	0	0
OsMH_01G0273800	0	81	0	0	0	0	0	0
OsMH_01G0273900	0	0	0	0	0	0	0	0
OsMH_01G0273700	158	347	0	0	0	0	0	0
OsMH_01G0275400	1	4	0	1	0	0	0	0
OsMH_01G0275500	51	127	0	0	0	0	0	0
OsMH_01G0275600	63	58	0	0	0	0	0	0
OsMH_01G0275900	739	1220	0	0	0	0	0	2
OsMH_01G0276700	0	0	0	0	0	0	0	0
OsMH_01G0276800	0	0	0	0	0	0	0	0
OsMH_01G0276900	0	0	0	0	0	0	0	0
OsMH_01G0277000	0	0	0	0	0	0	0	0
OsMH_01G0277200	0	0	0	0	0	0	0	0
OsMH_01G0277300	0	0	0	0	0	0	0	0
OsMH_01G0277400	0	0	0	0	0	0	0	0
OsMH_01G0277500	0	0	0	0	0	0	0	0
OsMH_01G0277700	0	0	0	0	0	0	0	0
OsMH_01G0277800	0	5	0	0	0	0	0	0
OsMH_01G0277100	2	6	0	0	0	0	0	0
OsMH_01G0277600	18	54	0	0	0	0	0	0
OsMH_01G0278400	59	107	0	0	0	0	0	0
OsMH_01G0278200	97	189	0	0	0	0	0	0
OsMH_01G0278300	508	894	29	14	62	41	56	64
OsMH_01G0278500	174	178	0	0	0	0	0	0
OsMH_01G0282300	0	2	0	0	1	0	0	0
OsMH_01G0282400	0	0	0	0	0	0	0	0
OsMH_01G0282500	11	1	0	0	0	0	0	0
OsMH_01G0282600	13	14	2399	2579	3259	3033	2560	2574
OsMH_01G0282700	129	228	0	0	0	0	0	0
OsMH_01G0278800	0	0	0	0	0	0	0	0
OsMH_01G0278900	0	0	0	0	0	0	0	0
OsMH_01G0279000	0	0	0	0	0	0	0	0
OsMH_01G0279100	0	0	3059	2577	1902	1715	1722	1946
OsMH_01G0279200	0	0	3361	2970	3646	3405	2476	2713
OsMH_01G0279300	0	0	0	0	0	0	0	0
OsMH_01G0279400	0	0	0	0	0	0	0	0
OsMH_01G0279500	0	0	23	43	41	44	61	51
OsMH_01G0279600	0	0	0	0	0	0	0	0
OsMH_01G0279700	0	0	26527	27124	5102	4703	3859	3671
OsMH_01G0279800	0	0	6048	6274	2979	2483	2040	2309
OsMH_01G0279900	0	0	129	99	575	536	622	647
OsMH_01G0280000	0	0	77	89	3661	3165	4163	4362
OsMH_01G0280100	0	0	15	0	11	12	19	14
OsMH_01G0280200	0	0	41	45	56	66	64	59
OsMH_01G0280300	0	0	1314	1300	2064	1932	1620	1780
OsMH_01G0280400	0	0	95	84	70	95	41	59
OsMH_01G0280600	155	283	1	2	1	1	1	0
OsMH_01G0280800	0	0	1638	1475	1937	1921	1872	1749
OsMH_01G0280900	0	0	486	633	765	696	818	734
OsMH_01G0281000	0	0	25766	26102	669	608	538	564
OsMH_01G0281100	0	0	1667	1640	631	502	308	352
OsMH_01G0281300	0	0	1712	1809	1026	851	684	772
OsMH_01G0281400	0	0	12966	13768	2027	1900	1416	1609
OsMH_01G0281500	0	0	139	161	142	135	139	129
OsMH_01G0281600	0	0	3078	2896	1948	1687	1129	1187
OsMH_01G0281700	0	0	7	7	2	13	11	8
OsMH_01G0281900	0	0	2	16	253	155	264	183
OsMH_01G0278600	19	48	182	215	163	140	151	165
OsMH_01G0278700	32	16	202	142	208	133	184	144
OsMH_01G0280500	2	4	0	0	0	0	0	0
OsMH_01G0280700	2	5	4	4	0	0	0	0
OsMH_01G0281200	2	0	649	592	542	462	494	557
OsMH_01G0281800	31	55	12	4	8	3	2	6
OsMH_01G0282000	4	16	1	0	12	4	2	5
OsMH_01G0285900	0	0	0	7	3	0	2	3
OsMH_01G0286000	0	0	346	364	455	443	344	343
OsMH_01G0286100	0	0	34	8	11	11	2	11
OsMH_01G0286200	0	0	492	522	113	127	106	108
OsMH_01G0286300	0	0	8	13	11	8	6	14
OsMH_01G0286400	0	0	10	16	14	8	8	6
OsMH_01G0286500	0	0	9	4	1	4	3	3
OsMH_01G0286600	0	0	13	10	5	8	2	3
OsMH_01G0286700	0	0	257	251	170	190	132	165
OsMH_01G0286800	0	0	2	4	2	5	0	3
OsMH_01G0286900	0	0	0	0	0	4	2	0
OsMH_01G0287000	0	0	61	100	53	49	47	58
OsMH_01G0287100	0	0	258	340	138	157	124	111
OsMH_01G0287200	0	0	48	56	56	59	36	18
OsMH_01G0287300	0	0	33	36	25	31	49	43
OsMH_01G0287400	0	0	1976	1792	2652	2538	2461	2480
OsMH_01G0290000	0	4	1925	1801	2587	2223	1646	1720
OsMH_01G0289600	509	627	2	11	0	4	1	6
OsMH_01G0290300	0	0	13	7	21	14	9	12
OsMH_01G0290200	278	316	3	0	26	19	15	4
OsMH_01G0291200	2	0	2	0	0	0	0	0
OsMH_01G0290700	0	0	2	0	0	2	0	0
OsMH_01G0290800	0	0	0	0	0	0	0	0
OsMH_01G0290900	0	0	580	619	1472	1348	2108	2115
OsMH_01G0291000	0	0	1513	164	1962	1851	1686	1475
OsMH_01G0291100	0	0	2711	3899	347	273	157	366
OsMH_01G0292300	228	260	5173	5034	1157	1071	949	979
OsMH_01G0292100	3689	4967	2	0	0	0	0	0
OsMH_01G0292600	0	0	2	5	7	1	0	6
OsMH_01G0292700	0	0	2	0	4	0	0	0
OsMH_01G0292800	0	0	24	11	13	10	5	3
OsMH_01G0292900	0	0	0	0	0	0	0	0
OsMH_01G0293000	0	16	0	0	0	0	0	0
OsMH_01G0293200	0	0	0	0	0	0	0	0
OsMH_01G0293300	0	0	0	0	0	0	0	0
OsMH_01G0293400	0	0	0	2	0	0	0	0
OsMH_01G0293700	0	0	0	0	0	0	0	0
OsMH_01G0293900	0	0	0	0	0	0	0	0
OsMH_01G0294000	0	8	1032	1118	1197	1161	801	838
OsMH_01G0294400	0	0	0	0	0	0	0	0
OsMH_01G0294500	0	0	0	0	0	0	0	0
OsMH_01G0294600	0	0	0	0	0	0	0	0
OsMH_01G0294700	0	0	0	0	0	0	0	0
OsMH_01G0294800	13	16	0	0	0	0	0	0
OsMH_01G0295100	0	0	0	0	0	0	0	0
OsMH_01G0295200	0	0	0	0	0	0	0	0
OsMH_01G0295400	36	77	0	0	0	0	0	0
OsMH_01G0295600	1117	1477	0	0	0	0	0	0
OsMH_01G0293100	6	5	0	0	0	0	0	0
OsMH_01G0293500	25	17	0	0	0	0	0	0
OsMH_01G0293600	6	0	0	0	0	0	0	0
OsMH_01G0293800	577	565	312	323	280	250	180	207
OsMH_01G0294100	10	12	0	0	0	0	0	0
OsMH_01G0294200	5	10	0	0	0	0	0	0
OsMH_01G0294300	6	17	0	0	0	0	0	0
OsMH_01G0294900	107	133	22	23	46	33	24	34
OsMH_01G0295000	15	13	362	310	727	662	1109	1254
OsMH_01G0295300	96	118	1392	1499	794	827	820	795
OsMH_01G0295500	2	0	1	1	1	1	1	1
OsMH_01G0296100	3	0	3356	3422	1209	1126	850	863
OsMH_01G0295700	5356	4235	1312	1317	1186	1055	982	1040
OsMH_01G0296500	609	671	171	236	138	134	242	262
OsMH_01G0296600	0	0	4648	4389	4446	4113	2932	3364
OsMH_01G0296700	0	0	2371	2256	1540	1388	1049	1107
OsMH_01G0296900	89	102	149	135	115	87	59	78
OsMH_01G0296800	11	0	0	0	2	0	0	0
OsMH_01G0297000	22	8	7	9	1	0	0	0
OsMH_01G0302400	155	227	31	16	11	9	2	9
OsMH_01G0303300	0	0	2348	2093	831	816	578	635
OsMH_01G0303400	0	0	0	0	0	0	0	0
OsMH_01G0303500	0	0	18	7	74	50	48	48
OsMH_01G0303600	0	0	602	613	317	389	274	276
OsMH_01G0303700	0	0	113	100	97	74	52	62
OsMH_01G0303800	16	19	669	630	593	480	341	436
OsMH_01G0304000	187	191	6	0	33	17	33	16
OsMH_01G0304600	0	0	3092	3103	2220	2135	1855	1856
OsMH_01G0298700	0	0	5269	5194	4114	4046	3035	3233
OsMH_01G0298800	0	0	17	20	22	19	10	13
OsMH_01G0299000	0	0	16	31	189	202	150	181
OsMH_01G0299100	0	0	18	7	4	9	4	19
OsMH_01G0299200	0	0	3223	3551	2712	2476	1740	1930
OsMH_01G0299300	0	0	18	22	25	24	22	22
OsMH_01G0299400	0	0	0	0	0	0	0	0
OsMH_01G0299500	0	0	0	0	0	0	0	0
OsMH_01G0299600	0	0	0	0	0	0	0	0
OsMH_01G0299700	0	0	0	0	0	0	0	0
OsMH_01G0299900	0	0	674	716	1360	1299	1328	1467
OsMH_01G0300000	0	0	170	185	157	107	70	70
OsMH_01G0300100	0	0	249	289	137	114	81	106
OsMH_01G0300200	0	0	869	833	1320	1356	801	926
OsMH_01G0300700	0	0	0	0	0	0	0	0
OsMH_01G0300800	0	0	0	0	0	0	0	0
OsMH_01G0300900	0	0	969	864	1237	1184	1032	1048
OsMH_01G0301100	0	0	0	0	0	0	0	0
OsMH_01G0301300	0	0	0	0	0	0	0	0
OsMH_01G0301500	0	0	0	0	0	0	0	0
OsMH_01G0301600	0	0	0	0	0	0	0	0
OsMH_01G0302000	0	0	21	59	30	21	41	56
OsMH_01G0302300	2018	2266	0	0	0	0	0	0
OsMH_01G0298600	21	5	54	64	142	133	58	52
OsMH_01G0298900	44	64	141	168	120	107	124	165
OsMH_01G0299800	366	384	0	0	0	0	0	0
OsMH_01G0300300	115	78	0	0	0	0	0	0
OsMH_01G0300400	3889	3729	0	0	0	0	0	0
OsMH_01G0300500	25	5	0	0	0	0	0	0
OsMH_01G0300600	79	141	0	0	0	0	9	0
OsMH_01G0301000	59	60	0	0	0	0	0	0
OsMH_01G0301200	140	378	0	0	0	0	0	0
OsMH_01G0301400	32	41	639	544	294	262	238	245
OsMH_01G0301700	705	579	139	125	252	273	54	61
OsMH_01G0301800	1262	1543	3776	3691	2515	2389	2008	2067
OsMH_01G0301900	1	0	3457	3162	6347	5780	5941	6786
OsMH_01G0302100	6203	5695	851	871	608	533	412	339
OsMH_01G0302200	19	29	41	28	23	35	22	16
OsMH_01G0311200	548	558	240	321	245	236	173	240
OsMH_01G0311300	318	413	1167	1248	552	666	397	457
OsMH_01G0311400	25	55	32	40	22	34	27	17
OsMH_01G0311500	439	541	1058	1040	881	780	624	657
OsMH_01G0311600	564	851	700	619	438	365	398	344
OsMH_01G0311800	6	2	58	32	19	16	7	4
OsMH_01G0312000	103	77	203	163	188	171	221	201
OsMH_01G0312100	82	150	0	0	0	0	0	0
OsMH_01G0313400	182	108	329	284	531	449	401	422
OsMH_01G0313500	218	233	2127	2222	2681	2690	2196	2433
OsMH_01G0314400	2	4	17	29	8	13	10	12
OsMH_01G0314600	0	5	0	0	0	0	0	0
OsMH_01G0305800	0	0	0	0	0	0	0	0
OsMH_01G0305900	0	3	0	0	0	0	0	0
OsMH_01G0306000	0	0	0	0	0	0	0	0
OsMH_01G0306100	0	0	0	0	0	0	0	0
OsMH_01G0306200	0	0	0	0	0	0	0	0
OsMH_01G0306300	0	0	0	0	0	0	0	0
OsMH_01G0306400	0	6	0	0	0	0	0	0
OsMH_01G0306500	0	0	0	0	0	0	0	0
OsMH_01G0306700	0	0	0	0	0	0	0	0
OsMH_01G0306800	5	6	0	0	0	0	0	0
OsMH_01G0306900	0	0	20	10	49	92	85	72
OsMH_01G0307000	0	0	1578	1648	1763	1604	1131	1243
OsMH_01G0307100	0	0	2144	2163	1484	1202	751	734
OsMH_01G0307200	0	0	13	10	175	127	40	47
OsMH_01G0307500	0	0	1108	1107	69	32	57	51
OsMH_01G0307600	0	0	4	15	176	155	139	128
OsMH_01G0307700	0	0	0	0	0	0	0	0
OsMH_01G0307800	0	0	271	216	1688	1488	1118	1063
OsMH_01G0307900	657	852	12	6	271	208	300	343
OsMH_01G0308300	568	1144	56	73	27	30	27	48
OsMH_01G0308400	0	0	0	0	0	0	0	0
OsMH_01G0308500	0	0	67	104	611	633	316	340
OsMH_01G0309000	0	0	124	138	58	64	26	29
OsMH_01G0309300	5	7	95	100	72	61	44	39
OsMH_01G0309400	0	0	672	932	745	574	660	756
OsMH_01G0309800	0	0	38	31	32	44	32	44
OsMH_01G0309900	0	0	858	733	289	321	266	249
OsMH_01G0310000	0	0	393	330	607	535	521	594
OsMH_01G0310100	0	0	54	33	24	12	19	24
OsMH_01G0310300	232	519	44	21	62	132	59	52
OsMH_01G0310400	0	0	0	0	0	0	0	0
OsMH_01G0310500	0	0	556	501	1916	1541	2220	2335
OsMH_01G0310600	0	0	346	418	2694	2409	2161	2079
OsMH_01G0310700	0	0	103	65	79	79	38	50
OsMH_01G0310800	0	0	0	11	3	13	2	0
OsMH_01G0310900	0	0	2045	1666	2114	2276	1621	1785
OsMH_01G0311100	4158	5973	1055	1079	691	660	559	636
OsMH_01G0306600	6	0	0	0	0	0	0	0
OsMH_01G0307300	737	949	0	0	0	0	0	0
OsMH_01G0307400	488	437	0	0	0	0	0	0
OsMH_01G0308000	149	133	0	0	0	0	0	0
OsMH_01G0308100	59	96	0	0	0	0	0	0
OsMH_01G0308200	5	1	0	0	0	0	0	0
OsMH_01G0308600	41	60	0	0	0	0	0	0
OsMH_01G0308700	15125	18972	0	0	0	0	0	0
OsMH_01G0308800	572	553	0	0	0	0	0	0
OsMH_01G0308900	633	673	0	0	0	0	0	0
OsMH_01G0309100	456	815	0	0	0	0	0	0
OsMH_01G0309200	32	31	0	0	0	0	0	0
OsMH_01G0309500	476	883	0	0	0	0	0	0
OsMH_01G0309600	208	306	0	0	0	0	0	0
OsMH_01G0309700	4	8	134	232	159	164	160	166
OsMH_01G0310200	849	1292	0	0	0	0	0	0
OsMH_01G0311000	4	0	0	0	0	0	0	0
OsMH_01G0314700	46	48	0	3	2	0	2	0
OsMH_01G0314800	144	228	2178	2213	1496	1416	1202	1211
OsMH_01G0314900	127	95	0	0	2	10	0	0
OsMH_01G0315000	27	78	4133	4178	3070	2816	1984	2017
OsMH_01G0315200	0	0	0	0	0	0	0	0
OsMH_01G0315300	15	3	4422	4200	2166	1881	1379	1577
OsMH_01G0315400	2	3	0	0	0	0	2	0
OsMH_01G0315600	196	220	5988	5791	3121	2804	1789	1793
OsMH_01G0316700	17	30	0	0	0	0	0	0
OsMH_01G0315800	592	828	2222	2304	3348	2977	2449	2440
OsMH_01G0315900	94	143	146	150	210	152	130	167
OsMH_01G0317000	14	45	14	11	3	4	9	1
OsMH_01G0316800	788	820	92	171	1732	1477	4659	4914
OsMH_01G0317100	2561	2966	334	298	372	399	400	406
OsMH_01G0318100	1	0	6	0	0	0	0	0
OsMH_01G0317300	146	932	958	1061	776	766	588	702
OsMH_01G0317200	1393	806	31	30	19	9	8	14
OsMH_01G0329900	2978	3022	493	427	397	320	275	224
OsMH_01G0330000	1640	1994	42507	45732	43113	38681	31966	32162
OsMH_01G0318600	0	2	2	0	7	0	6	0
OsMH_01G0318700	45	37	4	0	0	7	5	7
OsMH_01G0318800	0	2	5	9	7	23	21	12
OsMH_01G0318900	0	0	4	0	97	81	175	121
OsMH_01G0319000	0	0	1354	1241	1821	1602	1186	1211
OsMH_01G0319100	0	0	21	23	608	623	471	481
OsMH_01G0319300	0	0	733	723	5252	4801	5256	5409
OsMH_01G0319500	0	1	2	2	2	2	0	0
OsMH_01G0319600	0	0	2265	2156	3406	2781	2741	2902
OsMH_01G0319700	0	0	0	0	0	0	0	0
OsMH_01G0319800	0	0	0	0	0	0	0	0
OsMH_01G0319900	0	0	0	0	0	0	0	0
OsMH_01G0320000	0	0	0	0	0	0	0	0
OsMH_01G0320100	0	0	0	0	0	0	0	0
OsMH_01G0320300	0	0	0	0	0	0	0	0
OsMH_01G0320400	0	0	0	0	0	0	0	0
OsMH_01G0320500	485	523	0	0	0	0	0	2
OsMH_01G0320900	0	0	0	0	0	0	0	0
OsMH_01G0321000	0	0	0	0	0	0	0	0
OsMH_01G0321100	0	0	0	4	1	0	6	5
OsMH_01G0321200	0	0	0	0	0	0	0	0
OsMH_01G0321300	0	0	0	0	0	0	0	0
OsMH_01G0321400	0	0	16	17	7	17	6	7
OsMH_01G0321500	0	0	0	0	0	0	0	0
OsMH_01G0321600	0	0	0	0	0	0	0	0
OsMH_01G0321700	0	0	0	0	0	0	0	0
OsMH_01G0321800	0	0	0	0	0	0	0	0
OsMH_01G0321900	0	0	0	0	0	0	0	0
OsMH_01G0322100	102	124	0	0	0	0	0	0
OsMH_01G0322200	0	0	0	1	11	3	13	12
OsMH_01G0322300	0	0	0	0	0	0	0	0
OsMH_01G0322400	0	0	0	0	0	0	0	0
OsMH_01G0322600	0	0	0	0	0	0	0	0
OsMH_01G0322700	0	0	0	0	0	0	0	0
OsMH_01G0322800	0	0	0	0	0	0	0	0
OsMH_01G0322900	0	0	0	0	0	0	0	0
OsMH_01G0323000	0	0	0	0	0	0	2	0
OsMH_01G0323100	0	0	0	0	0	0	0	0
OsMH_01G0323300	3292	3910	0	0	0	0	0	0
OsMH_01G0323400	0	0	0	2	0	0	0	0
OsMH_01G0323500	0	0	0	0	0	0	0	0
OsMH_01G0323600	0	0	0	0	0	0	0	0
OsMH_01G0323700	0	0	0	0	1	0	0	0
OsMH_01G0323800	0	0	0	0	1	0	0	4
OsMH_01G0323900	0	0	13	11	12	20	23	20
OsMH_01G0324000	0	0	603	589	47	690	603	569
OsMH_01G0324100	0	0	0	0	0	0	0	0
OsMH_01G0324200	0	0	0	0	0	0	0	0
OsMH_01G0324300	0	0	0	0	0	0	0	0
OsMH_01G0324500	0	0	0	0	2	0	0	0
OsMH_01G0324600	0	0	0	0	0	0	0	0
OsMH_01G0324700	0	0	0	0	0	0	0	0
OsMH_01G0324800	0	0	0	0	0	0	0	0
OsMH_01G0325000	0	4	0	0	0	0	0	0
OsMH_01G0325100	0	0	9022	9725	9609	8759	8171	8708
OsMH_01G0325300	0	0	0	0	0	0	0	2
OsMH_01G0325400	0	0	4343	4602	3573	3675	2764	2950
OsMH_01G0325500	0	0	1606	1648	1315	1129	903	912
OsMH_01G0325600	0	0	1514	1453	1722	1615	1140	1204
OsMH_01G0325800	541	679	0	0	8	10	3	2
OsMH_01G0325900	65	70	13073	14611	36995	33232	37158	37735
OsMH_01G0326000	0	0	0	0	0	0	0	0
OsMH_01G0326100	0	9	0	0	0	0	0	0
OsMH_01G0326700	27	16	970	995	1099	992	775	797
OsMH_01G0326800	0	0	0	0	0	0	0	0
OsMH_01G0327000	0	0	0	0	0	0	0	0
OsMH_01G0327100	0	0	416	422	406	575	373	290
OsMH_01G0327200	0	0	3695	3950	6053	5364	4448	4746
OsMH_01G0327300	0	0	185	196	160	157	91	144
OsMH_01G0327400	0	0	492	467	262	256	242	273
OsMH_01G0327500	0	0	83	75	67	61	56	51
OsMH_01G0327600	0	0	2	0	0	0	0	0
OsMH_01G0327700	0	0	356	346	472	475	414	432
OsMH_01G0327800	1286	1622	332	295	329	341	277	377
OsMH_01G0328000	0	0	271	305	311	256	268	258
OsMH_01G0328100	0	0	3	10	10	3	8	2
OsMH_01G0328200	0	0	7	3	0	6	0	1
OsMH_01G0328400	18	14	3	0	0	0	0	0
OsMH_01G0328500	10	34	749	583	704	743	579	590
OsMH_01G0328700	148	198	828	956	802	757	624	727
OsMH_01G0328800	0	0	23	37	27	26	31	21
OsMH_01G0328900	0	0	1	0	6	8	2	2
OsMH_01G0329000	160	235	106	71	175	181	254	212
OsMH_01G0329100	0	0	4905	5209	3830	3387	2948	2955
OsMH_01G0329200	0	0	3701	4127	14289	13228	9030	9428
OsMH_01G0329300	0	0	11	10	36	23	19	7
OsMH_01G0329400	0	0	2	0	0	0	0	0
OsMH_01G0329500	46	32	92	66	443	453	420	453
OsMH_01G0329600	0	0	22	35	127	38	32	27
OsMH_01G0329700	0	2	12666	14017	18273	16106	14753	14457
OsMH_01G0329800	67	170	1018	1023	79	83	69	87
OsMH_01G0318500	2	0	2580	2731	1791	1539	1171	1364
OsMH_01G0319200	229	233	2866	2972	1158	904	892	889
OsMH_01G0319400	1169	1694	1012	1165	705	561	369	306
OsMH_01G0320200	53	34	1773	2006	2760	2278	2261	2279
OsMH_01G0320600	5	5	1032	1262	726	736	543	571
OsMH_01G0320700	225	380	2137	2320	1870	1427	1486	1665
OsMH_01G0320800	13	16	459	475	347	218	250	262
OsMH_01G0322000	1538	1412	633	685	529	466	430	448
OsMH_01G0322500	424	421	6159	6149	5503	4744	3812	3982
OsMH_01G0323200	10	0	1886	2104	2756	2473	2610	2456
OsMH_01G0324400	24	15	121	179	130	112	135	123
OsMH_01G0324900	6	17	182	178	173	139	79	72
OsMH_01G0325200	39	37	0	0	6	9	0	4
OsMH_01G0325700	261	293	0	2	0	0	0	4
OsMH_01G0326200	14	7	1105	1064	592	517	407	368
OsMH_01G0326300	160	156	0	0	0	0	0	0
OsMH_01G0326400	38	38	0	0	0	0	0	0
OsMH_01G0326500	225	272	0	0	0	0	0	0
OsMH_01G0326600	4	19	0	0	0	0	0	0
OsMH_01G0326900	2959	2733	0	0	0	0	0	0
OsMH_01G0327900	79	88	0	0	0	0	0	0
OsMH_01G0328300	2	0	0	0	0	0	0	0
OsMH_01G0328600	62	131	0	0	0	0	0	0
OsMH_01G0330700	0	0	47	44	16	21	11	29
OsMH_01G0330900	0	14	0	0	0	0	0	0
OsMH_01G0330800	204	541	0	0	0	0	0	0
OsMH_01G0331400	63	30	0	0	0	0	0	0
OsMH_01G0331500	5	0	0	0	0	0	0	0
OsMH_01G0331000	190	175	0	0	0	0	0	0
OsMH_01G0332500	2	4	0	0	0	0	0	0
OsMH_01G0333100	0	0	0	0	0	0	0	0
OsMH_01G0333200	0	0	0	0	0	0	0	0
OsMH_01G0332300	0	0	0	0	0	0	0	0
OsMH_01G0332400	2756	3058	9214	9367	8748	7827	7765	8202
OsMH_01G0334400	0	0	0	0	0	2	0	0
OsMH_01G0334300	662	947	0	0	0	1	0	0
OsMH_01G0334800	66	114	0	0	0	0	0	0
OsMH_01G0336900	5	0	0	0	0	0	0	3
OsMH_01G0335500	0	0	0	0	0	0	0	0
OsMH_01G0335600	0	0	0	0	0	0	0	0
OsMH_01G0335700	0	0	0	0	0	0	0	0
OsMH_01G0335800	0	0	0	0	0	0	0	0
OsMH_01G0335900	0	0	0	0	0	0	0	0
OsMH_01G0336000	0	0	0	0	0	0	0	0
OsMH_01G0336100	0	0	0	0	0	0	0	0
OsMH_01G0336200	0	0	0	0	0	0	0	0
OsMH_01G0336300	0	0	0	0	0	0	0	0
OsMH_01G0336400	0	0	0	0	0	0	0	0
OsMH_01G0336500	0	0	0	0	0	0	0	0
OsMH_01G0336700	0	0	0	0	0	0	0	0
OsMH_01G0336600	268	408	0	0	0	0	0	0
OsMH_01G0336800	9	4	0	0	0	0	0	0
OsMH_01G0337000	367	487	0	0	0	0	0	0
OsMH_01G0338000	19	17	0	0	0	0	0	0
OsMH_01G0338100	113	224	0	0	0	0	0	0
OsMH_01G0338600	2	0	0	0	0	0	0	0
OsMH_01G0338500	237	200	0	0	0	0	0	0
OsMH_01G0339300	26	52	0	0	0	0	0	0
OsMH_01G0339400	39	92	0	0	0	0	0	0
OsMH_01G0339500	475	508	0	0	0	0	0	0
OsMH_01G0339600	58	72	0	0	0	0	0	0
OsMH_01G0339800	98	108	0	0	0	0	0	0
OsMH_01G0339700	561	673	0	0	0	0	0	0
OsMH_01G0340300	6	9	7704	7212	5412	5208	3565	3733
OsMH_01G0341400	22	21	732	591	642	615	583	607
OsMH_01G0341200	555	653	546	561	368	413	282	318
OsMH_01G0341300	269	207	167	207	299	269	176	212
OsMH_01G0342200	4	0	11	17	10	6	10	7
OsMH_01G0341600	150	159	228	254	265	250	198	209
OsMH_01G0342900	0	0	664	658	362	264	293	247
OsMH_01G0342800	31	20	179	161	3289	2873	5506	5781
OsMH_01G0343300	32	0	2	5	9	4	6	3
OsMH_01G0347400	96	90	789	904	2069	1808	2515	2485
OsMH_01G0347500	0	0	65	97	196	152	220	200
OsMH_01G0343500	0	0	772	878	1388	1321	1229	1285
OsMH_01G0343600	0	0	5349	5365	8520	7470	7596	7450
OsMH_01G0343700	0	0	2730	2727	4088	3423	2821	3179
OsMH_01G0343800	0	0	811	819	1760	1606	2045	1969
OsMH_01G0343900	0	0	1263	1463	706	673	461	530
OsMH_01G0344000	0	0	536	486	2221	2035	1900	1835
OsMH_01G0344100	0	0	642	595	326	276	310	305
OsMH_01G0344200	0	0	1871	1813	39	54	26	21
OsMH_01G0344300	0	0	52	41	53	97	48	61
OsMH_01G0344400	0	0	42	78	71	74	46	35
OsMH_01G0344500	0	0	2	3	0	0	0	2
OsMH_01G0344600	48	87	1391	1566	1492	1353	796	788
OsMH_01G0344700	20	16	151	212	791	836	837	762
OsMH_01G0344800	0	0	11543	11502	12253	11460	7895	8268
OsMH_01G0345200	0	0	70	66	150	141	198	248
OsMH_01G0345500	0	0	79	69	141	105	127	133
OsMH_01G0345700	183	238	503	517	337	402	240	258
OsMH_01G0345800	0	0	32	13	7	0	3	4
OsMH_01G0345900	0	0	3602	3551	4019	3839	3144	3106
OsMH_01G0346300	0	0	82	87	317	251	279	251
OsMH_01G0344900	85	77	405	335	307	237	140	149
OsMH_01G0345000	20	30	1120	1052	1005	932	890	869
OsMH_01G0345100	400	411	841	873	1397	1345	1051	1201
OsMH_01G0345300	126	199	716	737	496	507	410	428
OsMH_01G0345400	95	103	38	18	371	317	784	851
OsMH_01G0345600	7	11	0	2	0	0	0	0
